name,link,description,date_time,date
From A Rithm Instructor: Technical Job Search Blockers,/blog/rithm-instructor-technical-job-search-blockers,"<p dir=""ltr"">In order to get your first position as a software engineer, you have to have a certain level of technical ability. However, sometimes it is the non-technical things that can get in the way of breaking into the industry. </p>",2021-03-12 00:07:16 UTC,"March 12, 2021"
Coming Up in Python: `match`,/blog/coming-up-in-python-match,"<p dir=""ltr"">The next version of Python, 3.10, is in late alpha and is expected to be released in the middle of 2021. It has a number of small changes to the language, but also one later new piece of syntax, the `match` keyword.</p>",2021-03-03 22:38:07 UTC,"March 03, 2021"
2021 Rithm School Scholarships,/blog/2021-rithm-school-scholarships,"<p>Here at Rithm School, we have seen value in providing scholarships to highly motivated web development students. The practice of offering scholarships is not only a way to support learners working with tight budgets, but also a method of engaging and motivating nontraditional students of all backgrounds and experience levels who are interested in breaking into tech. We currently have 3 separate partial scholarships we are offering for our 2021 full-time courses.</p>",2021-02-24 01:04:55 UTC,"February 24, 2021"
6 Tips To Push Through The Discomfort Of The Job Search,/blog/push-through-discomfort-of-the-job-search,"<p dir=""ltr"">There comes a point in the job search, when the initial optimism and enthusiasm has worn off and the job search starts to feel like an eternal grind. You have put a lot of work in, but haven’t experienced any of the benefits. You are very aware of how much effort and discomfort you have gone through, and it can feel like you have nothing to show for it. It’s tempting to stop pushing yourself and return to comfort. Here are six ways to keep pushing through the discomfort until you land a new job:<br/>
 </p>",2021-02-17 00:17:32 UTC,"February 17, 2021"
Our Updated Interview Process,/blog/our-updated-interview-process,"<p>At Rithm, our goal is to make our admissions process fair, personalized, and informative, and over the past couple of years, we've seen that candidates have highly enjoyed our admissions process and interviews. At the same time, we've seen that our application process is longer than most, as it requires students to complete a large set of practice problems before interviewing. While this has been a helpful way for candidates to practice problem-solving, it has not always led to the most seamless interview process. In order to make it easier to interview at Rithm School, we're making a slight modification to our interview process.</p>",2021-01-25 20:19:48 UTC,"January 25, 2021"
Using The JavaScript Ternary Operator Effectively,/blog/using-the-javascript-ternary-operator,"<p>The JavaScript ternary operator is a useful tool that you'll encounter in code quite often.  Ternary operators can make statements more concise and easy to reason about.  If the syntax is new to you, the operator may seem a little confusing.  Let's talk about the ternary operator and discuss some rules of thumb for how to use it.</p>",2020-11-09 00:00:00 UTC,"November 09, 2020"
Seven Tips For Dealing With Imposter Syndrome,/blog/dealing-with-coding-bootcamp-imposter-syndrome,"<p>Imposter syndrome is a phenomenon where people doubt their skills, talents, and/or accomplishments. They have a constant fear of being exposed as a fraud, and think things like, “eventually everyone will find out that I really have no idea what I’m doing.” Even after one gets a job this can still occur, they would attribute getting a job to pure luck.</p>",2020-10-20 00:00:00 UTC,"October 20, 2020"
Alumni Spotlight: Genna Mergola,/blog/alumni-spotlight-genna-mergola,"<p>I am currently located in San Francisco, CA originally from New Jersey. I love being active, I was previously a professional modern dancer and yoga instructor. I still love to do yoga and plan to eventually teach again once possible.</p>",2020-10-13 00:00:00 UTC,"October 13, 2020"
How To Get Into A Top Coding Bootcamp,/blog/how-to-get-into-top-coding-bootcamp-rithm-school,"<p>Getting into a selective bootcamp can be difficult. This is a good thing, you want to avoid schools that admit anyone who is willing to pay. There are too many schools that are more focused on building a big business rather than the outcomes of their students. Even after going through a leading bootcamp, getting the first job can still be difficult. Stay away from places that make it seem easy. It is much better to be surrounded by others who have put in a lot of effort into being there.</p>",2020-09-22 00:00:00 UTC,"September 22, 2020"
Taking Breaks: Why Being Busy Doesn't Equal Productivity,/blog/taking-breaks-for-productivity,"<p>Imagine this: you are working on a project, but you keep checking your email, slack, and social media. You stare out the window trying to regain focus. Maybe you are half listening to a podcast in the background. You mindlessly wander from one task to another based on whatever you are feeling in the moment. You are not truly working, and definitely not taking a break. We’ve all been there. Maintaining focus was hard in normal times, let alone during a pandemic.</p>",2020-08-18 00:00:00 UTC,"August 18, 2020"
